,0
Afghanistan,0.5
Albania,2.9
Algeria,1.9
Andorra,2.5
Angola,0.8
Antigua and Barbuda,3.8
Argentina,5.0
Armenia,4.2
Australia,3.8
Austria,7.6
Azerbaijan,4.7
"Bahamas, The",2.9
Bahrain,2.0
Bangladesh,0.8
Barbados,5.8
Belarus,11.0
Belgium,6.2
Belize,1.3
Benin,0.5
Bermuda,6.3
Bhutan,1.7
Bolivia,1.1
Bosnia and Herzegovina,3.5
Botswana,1.8
Brazil,2.2
Brunei Darussalam,2.7
Bulgaria,6.8
Burkina Faso,0.4
Burundi,0.8
Cabo Verde,2.1
Cambodiaf,0.8
Cameroon,1.3
Canada,2.7
Cayman Islands,3.0
Central African Republic,1.0
Chad,0.4
Channel Islands,10.6
Chile,2.2
China,4.2
Colombia,1.5
Comoros,2.2
Costa Rica,1.2
Croatia,5.6
Cuba,5.2
Cyprus,3.4
Czech Republic,6.5
Denmark,2.5
Djibouti,1.4
Dominica,3.8
Dominican Republic,1.6
Ecuador,1.5
Egypt,1.6
El Salvador,1.3
Equatorial Guinea,2.1
Eritrea,0.7
Estonia,5.0
Eswatini,2.1
Ethiopia,0.3
Fiji,2.3
Finland,4.4
France,6.5
Gabon,6.3
"Gambia, The",1.1
Georgia,2.6
Germany,8.3
Ghana,0.9
Greece,4.3
Greenland,14.4
Grenada,3.7
Guatemala,0.6
Guinea,0.3
Guinea-Bissau,1.0
Guyana,1.6
Haiti,0.7
Honduras,0.7
"Hong Kong SAR, China",4.9
Hungary,7.0
Iceland,3.2
India,0.7
Indonesia,1.2
Iran,1.5
Iraq,1.4
Ireland,2.8
Isle of Man,1.6
Israel,3.1
Italy,3.4
Jamaica,1.7
Japan,13.4
Jordan,1.4
Kazakhstan,6.7
Kenya,1.4
Kiribati,1.9
North Korea,13.2
South Korea,11.5
Kuwait,2.0
Kyrgyz Republic,4.5
Lao PDR,1.5
Latvia,5.8
Lebanon,2.9
Lesotho,1.3
Liberia,0.8
Libya,3.7
Lithuania,7.3
Luxembourg,4.8
"Macao SAR, China",5.3
Madagascar,0.2
Malawi,1.3
Malaysia,1.9
Maldives,4.3
Mali,0.1
Malta,4.7
Marshall Islands,2.7
Mauritania,0.4
Mauritius,3.4
Mexico,1.5
Micronesia,3.2
Moldova,5.8
Monaco,13.8
Mongolia,7.0
Montenegro,4.0
Morocco,1.1
Mozambique,0.7
Myanmar,0.9
Namibia,2.7
Nauru,5.0
Nepal,0.3
Netherlands,4.7
New Zealand,2.8
Nicaragua,0.9
Niger,0.3
Nigeria,0.5
North Macedonia,4.4
Norway,3.9
Oman,1.6
Pakistan,0.6
Palau,4.8
Panama,2.3
Papua New Guinea,4.0
Paraguay,1.3
Peru,1.6
Philippines,1.0
Poland,6.5
Portugal,13.4
Puerto Rico,3.3
Qatar,1.2
Romania,6.3
Russian Federation,8.2
Rwanda,1.6
Samoa,1.0
San Marino,3.8
Sao Tome and Principe,2.9
Saudi Arabia,2.7
Senegal,0.3
Serbia,5.7
Seychelles,3.6
Sierra Leone,0.4
Singapore,2.4
Slovak Republic,5.8
Slovenia,4.6
Solomon Islands,1.4
Somalia,0.9
South Africa,2.8
Spain,3.0
Sri Lanka,3.6
St. Kitts and Nevis,2.3
St. Lucia1,0.3
St. Vincent and the Grenadines,2.6
Sudan,0.8
Suriname,3.1
Sweden,2.6
Switzerland,4.7
Syrian Arab Republic,1.5
Tajikistan,4.8
Tanzania,0.7
Thailand,2.1
Timor-Leste,5.9
Togo,0.7
Tonga,2.6
Trinidad and Tobago,3.0
Tunisia,2.3
Turkey,2.7
Turkmenistan,7.4
Tuvalu,5.6
Uganda,0.5
Ukraine,8.8
United Arab Emirates,1.2
United Kingdom,2.8
United States,2.9
Uruguay,2.8
Uzbekistan,4.0
Vanuatu,1.7
"Venezuela, RB0",0.8
Vietnam,2.6
Virgin Islands (U.S.),18.7
West Bank and Gaza,1.2
"Yemen, Rep.",0.7
Zambia,2.0
Zimbabwe,1.7
